OBJECTID,Loc_name,Status,Score,Match_type,Match_addr,Side,Long,Lat,Disp_Lon,Disp_Lat,Addr_type,House,PreDir,PreType,StreetName,SufType,SufDir,City,Province,Postal,ZIP,ZIP4,ZIP4_TYPE,User_fld,State,Ldu,xmin,xmax,ymin,ymax,ARC_Address,ARC_City,ARC_State,ARC_Zip,ARC_Zip4,ARC_Country,ID,Name,Artist,Type,Address,City_1,State_1,Website,Phone,Class,x,y
1,US_Streets,M,100,A,"501 Columbia St NW, Olympia, WA, 98501",L,-122.903533,47.048219,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,501 Columbia Street Northwest,Olympia,WA,,,,1,Splash Gallery of Olympia,"Anna Boatright, Landscape Photography; Thomas Boatright, Oil Paintings; Melodi Cottongim, Watercolor; Christine Malek, Textiles; Irene Osborn, Clay Sculpture; Marion Pollmann, Sculpted Clay; Rick Ranum, Digital Photography; Jan Sogge, Jewelry",m,501 Columbia Street Northwest,Olympia,WA,http://www.splashgalleryolympia.com/,(360) 943-5177,2,-122.903933,47.04840727
2,US_RoofTop,M,100,A,"312 Columbia St NW, Olympia, WA, 98501",R,-122.903201,47.046845,-122.902611,47.0469,Address,,,,,,,,,,,,,,,,0,0,0,0,312 Columbia Street Northwest,Olympia,WA,,,,2,Copper Moon Massage Therapy Inc,Various Artists,e,312 Columbia Street Northwest,Olympia,WA,http://coppermoonmassage.com/,(360) 357-1390,1,-122.9030507,47.04684454
3,US_Streets,M,100,A,"302 Columbia St NW, Olympia, WA, 98501",R,-122.903116,47.046556,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,302 Columbia Street Northwest,Olympia,WA,,,,3,Fusion Physical Therapy & Pilates,"Duncan Green, Photography; Paul Mongillo, Photography; Cruz Soto, Photography & Leather Bags; Trudes Tango, Ceramics",e,302 Columbia Street Northwest,Olympia,WA,http://www.fusionolympia.net/,(360) 596-9696,1,-122.902805,47.04668689
4,US_RoofTop,M,100,A,"222 Columbia St NW, Olympia, WA, 98501",R,-122.903101,47.046186,-122.902521,47.04632,Address,,,,,,,,,,,,,,,,0,0,0,0,222 Columbia Street Northwest,Olympia,WA,,,,4,Senior Services for South Sound,See Fri. Events ,e,222 Columbia Street Northwest,Olympia,WA,http://www.southsoundseniors.org/,(360) 586-4491,1,-122.902708,47.04624888
5,US_RoofTop,M,100,A,"415 4th Ave E, Olympia, WA, 98501",R,-122.897198,47.045192,-122.897181,47.04497,Address,,,,,,,,,,,,,,,,0,0,0,0,415 4th ave East,Olympia,WA,,,,5,Make Olympia Street Market,Crafts Market,e,415 4th ave East,Olympia,WA,http://www.makeolympia.com/,,1,-122.8971118,47.0447593
6,US_Streets,M,100,A,"222 4th Ave W, Olympia, WA, 98501",L,-122.903187,47.044821,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,222 4th Avenue West,Olympia,WA,,,,6,Childhood's End Gallery,"(Cover Artist) Susan Aurand, Oil; Betty Jo Fitzgerald, Mixed Media; The Art of Storage, Ceramics",m,222 4th Avenue West,Olympia,WA,http://www.childhoods-end-gallery.com/,(360) 943-3724,2,-122.9040124,47.04483918
7,US_RoofTop,M,90.97,A,"210 4th Ave E, Olympia, WA, 98501",L,-122.899933,47.045057,-122.899961,47.04528,Address,,,,,,,,,,,,,,,,0,0,0,0,210 4th Avenue West,Olympia,WA,,,,7,Simple Cloth,"Jellybeanz Ink, Upcycled Children's Wear",w,210 4th Avenue West,Olympia,WA,http://www.simplecloth.com/,(360) 753-2420,3,-122.9036335,47.04487882
8,US_Streets,M,100,A,"200 4th Ave W, Olympia, WA, 98501",L,-122.90296,47.044839,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,200 4th Avenue West,Olympia,WA,,,,8,Cascadia Grill,See Events,e,200 4th Avenue West,Olympia,WA,http://www.cascadiagrill.com/,(360) 628-8731,1,-122.9031134,47.04491788
9,US_RoofTop,M,100,A,"112 4th Ave W, Olympia, WA, 98501",L,-122.902403,47.044867,-122.902421,47.04511,Address,,,,,,,,,,,,,,,,0,0,0,0,112 4th Avenue West,Olympia,WA,,,,9,Ben Moore's Cafe,"Richard E. Swanson, Photography",m,112 4th Avenue West,Olympia,WA,http://www.benmoores.com/,(360) 357-7527,2,-122.9024022,47.04494387
10,US_RoofTop,M,98.42,A,"101 Capitol Way N, Olympia, WA, 98501",L,-122.90175,47.045074,-122.902101,47.04504,Address,,,,,,,,,,,,,,,,0,0,0,0,101 Capital Way North,Olympia,WA,,,,10,Belleza Ropa,"Erin Moore, Jewelry",e,101 Capital Way North,Olympia,WA,http://www.bellezaropa.com/,(360) 352-7672,1,-122.9018739,47.04500542
