Name,Description,Icon_color,Long,Lat,State,URL,Thumb_URL
POW-MIA memorial,"A monument to American prisoners of war and those missing in action was dedicated in a solemn ceremony at the capitol campus on September 16, 1988. An all night vigil, followed by the release of commemorative balloons, followed the ceremony. Recognition was also given to the POW/MIA flag that is flown regularly on one of three flagpoles near the Legislative Building.",R,-122.9041449,47.03547728,WA,http://www.ga.wa.gov/visitor/pow-mia/pow-mia02.jpg,http://www.ga.wa.gov/visitor/pow-mia/pow-mia02.jpg
Neighborly Notes,"Six sidewalk images integrated into a pervious concrete surface Custom formliner for a retaining wall The new mile-long sidewalk built for an Olympia neighborhood has visual symbols integrated into the sidewalk, stones placed in several locations for resting and sharing objects found during walks, and a retaining wall. This active community had many thoughts to share about how they viewed walking.",R,-122.893494,47.05610487,WA,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/SanFranCollage_web.ashx?w=300&h=226&as=1,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/SanFranCollage_web.ashx?w=300&h=226&as=1
Yashiro Japanese Garden,"Robert Murase's park design defines a true Japanese garden as ""a visionary expression about our connectedness to nature and earth."" The specific placement of plants, water and stone carries a message of land stewardship, nature, religious thought, friendship, compassion, cultural exchange and understanding.",R,-122.8917239,47.04000122,WA,http://olympiawa.gov/~/media/Images/Parks/ParksAndTrails/yCarl3-web%20jpg.ashx?w=227&h=349&as=1,http://olympiawa.gov/~/media/Images/Parks/ParksAndTrails/yCarl3-web%20jpg.ashx?w=227&h=349&as=1
Laws of Man to the Laws of Nature,"The artwork consists of over 3000 square feet of mosaic along the bridge's sidewalks and two traffic roundabouts measuring 100' and 70' in diameter.From the Laws of Man to the Laws of Naturethematically and physically connects the State Capital's downtown with the less urban parts of the city. The site affords views of the Capitol dome, Mt. Rainier and Budd Inlet.",R,-122.8869185,47.05019667,WA,http://olympiawa.gov/en/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Mos4-big%20jpg.ashx?w=350&h=247&as=1,http://olympiawa.gov/en/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Mos4-big%20jpg.ashx?w=350&h=247&as=1
Stone Amphitheater,"The elevated park offers close-ups and vistas of a rapidly changing urban panorama, with older, brick-and-mortar industry in vibrant juxtaposition with upscale new residential buildings.",R,-122.9041449,47.03547728,WA,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Stone-Amphitheater-web%20jpg.ashx?w=350&h=235&as=1,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Stone-Amphitheater-web%20jpg.ashx?w=350&h=235&as=1
Territorial Sundial,"During construction of the new State Library in the late 1950’s, it was decided that a sundial would be placed directly north of the main entrance to serve as a focal point for the viewing of the building. John W. Elliot, a Seattle master craftsman who had done prior relief work on a number of public buildings in the state, was selected to design and execute the Territorial Sundial. Relief art is sculpture that projects forms from a flat background. Elliot’s magnificent hand-hammered, bas-relief sundial is made out of brass and measures six feet across (bas-relief is a specific type of relief where the protrusion of figures from the surface is very slight).",R,-122.9041449,47.03547728,WA,http://www.ga.wa.gov/visitor/sundial/sundial02.jpg,http://www.ga.wa.gov/visitor/sundial/sundial02.jpg
Korean War memorial,"It was in 1989 that the Washington State Legislature, at the urging of numerous veterans’ organizations, business owners, and citizens, authorized the first ever state-sponsored Korean War Memorial. The project was approved for two purposes: ""to express the gratitude of the citizens of this state for all who served in Korea, and to project the spirit of service, willingness to sacrifice, and dedication to freedom in remembering those Washingtonians who lost their lives in the war."" Roughly 122,000 Washington soldiers served in Korea, now often referred to as ""the forgotten war""—532 of these troops were killed.",R,-122.9041449,47.03547728,WA,http://www.ga.wa.gov/visitor/korean/KoreanWar02.jpg,http://www.ga.wa.gov/visitor/korean/KoreanWar02.jpg
Law enforcement memorial,"Located on the Washington state Capitol Campus in the shadow of the Temple of Justice and looking north to Heritage Park and Puget Sound, the Washington State Law Enforcement Memorial (WSLEM) is a lasting tribute to law enforcement officers who continue to give their lives in the line of duty. It is a place for survivors to remember their loved ones. It is a place for the public to reflect on the sacrifices made to protect them and marvel at the beauty of the setting overlooking Capitol Lake and the Puget Sound and Olympic Mountains beyond.",R,-122.9041449,47.03547728,WA,http://www.ga.wa.gov/visitor/law/law-02.jpg,http://www.ga.wa.gov/visitor/law/law-02.jpg
Medal of Honor memorial,"This monument honors those Washingtonians who have received the Medal of Honor, the highest distinction that can be awarded to a member of the Armed Forces of the United States. The medal is presented by the President (in the name of Congress) to those who have gone above and beyond the call of duty while serving our country. Throughout the medal’s history, fewer than 3,500 individuals have received this supreme honor—mostly after their deaths.",R,-122.9041449,47.03547728,WA,http://www.ga.wa.gov/visitor/medal-honor/Medal-of-Honor-02.jpg,http://www.ga.wa.gov/visitor/medal-honor/Medal-of-Honor-02.jpg
Tivoli Fountain,"The idea for adding this spectacular fountain to the capitol campus was first conceived by Peter G. Schmidt during his visit to Copenhagen, Denmark in 1949. It was at that time that Schmidt, then-president of the Olympia-Tumwater Foundation (a privately-funded organization created for the advance of recreational, benevolent, and educational projects for the State of Washington) was especially taken with a large fountain he saw there. This fountain, it turned out, was a copy of one located in Tivoli, a town about 16 miles east of Rome that contains one of the finest surviving examples of a garden from the Renaissance period in Italy.",R,-122.9041449,47.03547728,WA,http://www.ga.wa.gov/visitor/tivoli/tivoli02.jpg,http://www.ga.wa.gov/visitor/tivoli/tivoli02.jpg
